Position,M_D_YYYY,TIME[HH:mm:ss],CO2[ppm],Temp[C],RH[%]
315,1/6/2020,10:05:20,995,18.9,51.4
316,1/6/2020,10:05:25,1025,18.9,51.4
317,1/6/2020,10:05:30,1025,18.9,51.4
318,1/6/2020,10:05:35,1045,18.9,51.5
319,1/6/2020,10:05:40,1045,18.9,51.5
320,1/6/2020,10:05:45,1045,18.9,51.6
321,1/6/2020,10:05:50,1045,18.9,51.6
322,1/6/2020,10:05:55,1045,18.9,51.6
323,1/6/2020,10:06:00,1045,19.0,51.6
324,1/6/2020,10:06:05,1045,18.9,51.6
325,1/6/2020,10:06:10,1045,19.0,51.6
326,1/6/2020,10:06:15,1045,18.9,51.5
327,1/6/2020,10:06:20,1045,19.0,51.5
328,1/6/2020,10:06:25,1045,19.0,51.5
329,1/6/2020,10:06:30,1045,19.0,51.5
330,1/6/2020,10:06:35,1045,19.0,51.5
331,1/6/2020,10:06:40,1045,19.0,51.5
332,1/6/2020,10:06:45,1045,19.0,51.5
333,1/6/2020,10:06:50,1045,19.0,51.5
334,1/6/2020,10:06:55,1045,19.0,51.5
335,1/6/2020,10:07:00,1045,19.0,51.5
336,1/6/2020,10:07:05,1045,19.0,51.4
337,1/6/2020,10:07:10,1045,19.0,51.4
338,1/6/2020,10:07:15,1045,19.0,51.4
339,1/6/2020,10:07:20,1045,19.0,51.4
340,1/6/2020,10:07:25,1040,19.0,51.4
341,1/6/2020,10:07:30,1030,19.0,51.3
342,1/6/2020,10:07:35,1030,19.0,51.4
343,1/6/2020,10:07:40,1030,19.0,51.6
344,1/6/2020,10:07:45,1030,19.0,51.9
345,1/6/2020,10:07:50,1030,19.0,51.9
346,1/6/2020,10:07:55,1030,19.0,51.8
347,1/6/2020,10:08:00,1030,19.0,51.8
348,1/6/2020,10:08:05,1030,19.0,51.7
349,1/6/2020,10:08:10,1030,19.0,51.6
350,1/6/2020,10:08:15,1030,19.0,51.6
351,1/6/2020,10:08:20,1025,19.0,51.6
352,1/6/2020,10:08:25,1025,19.0,51.5
353,1/6/2020,10:08:30,1020,19.0,51.5
354,1/6/2020,10:08:35,1020,19.0,51.5
355,1/6/2020,10:08:40,1015,19.0,51.4
356,1/6/2020,10:08:45,1015,19.0,51.4
357,1/6/2020,10:08:50,1015,19.0,51.4
358,1/6/2020,10:08:55,1015,19.0,51.4
359,1/6/2020,10:09:00,994,19.0,51.4
360,1/6/2020,10:09:05,994,19.0,51.4
361,1/6/2020,10:09:10,996,19.0,51.3
362,1/6/2020,10:09:15,996,19.0,51.3
363,1/6/2020,10:09:20,997,19.0,51.3
364,1/6/2020,10:09:25,998,19.0,51.3
365,1/6/2020,10:09:30,1025,19.0,51.3
366,1/6/2020,10:09:35,1025,19.0,51.4
367,1/6/2020,10:09:40,1025,19.0,51.4
368,1/6/2020,10:09:45,1025,19.0,51.4
369,1/6/2020,10:09:50,1025,19.1,51.4
370,1/6/2020,10:09:55,1025,19.0,51.4
371,1/6/2020,10:10:00,1025,19.0,51.4
372,1/6/2020,10:10:05,1025,19.0,51.4
373,1/6/2020,10:10:10,1025,19.0,51.4
374,1/6/2020,10:10:15,1025,19.1,51.4
375,1/6/2020,10:10:20,1025,19.0,51.5
376,1/6/2020,10:10:25,1025,19.0,51.4
377,1/6/2020,10:10:30,1025,19.0,51.4
378,1/6/2020,10:10:35,1025,19.1,51.4
379,1/6/2020,10:10:40,1025,19.1,51.4
380,1/6/2020,10:10:45,1025,19.1,51.3
381,1/6/2020,10:10:50,1025,19.1,51.3
382,1/6/2020,10:10:55,1025,19.1,51.3
383,1/6/2020,10:11:00,1025,19.1,51.3
384,1/6/2020,10:11:05,1025,19.1,51.3
385,1/6/2020,10:11:10,1025,19.1,51.3
386,1/6/2020,10:11:15,1025,19.1,51.3
387,1/6/2020,10:11:20,1025,19.1,51.3
388,1/6/2020,10:11:25,1025,19.1,51.3
389,1/6/2020,10:11:30,1025,19.0,51.3
390,1/6/2020,10:11:35,1025,19.1,51.3
391,1/6/2020,10:11:40,1020,19.1,51.3
392,1/6/2020,10:11:45,1020,19.1,51.3
393,1/6/2020,10:11:50,1020,19.1,51.3
394,1/6/2020,10:11:55,1020,19.1,51.3
395,1/6/2020,10:12:00,1020,19.1,51.3
396,1/6/2020,10:12:05,1020,19.1,51.3
397,1/6/2020,10:12:10,1020,19.1,51.3
398,1/6/2020,10:12:15,1020,19.1,51.3
399,1/6/2020,10:12:20,1020,19.1,51.3
400,1/6/2020,10:12:25,1020,19.1,51.3
401,1/6/2020,10:12:30,1020,19.1,51.4
402,1/6/2020,10:12:35,1020,19.1,51.5
403,1/6/2020,10:12:40,1020,19.1,51.6
404,1/6/2020,10:12:45,1015,19.1,51.6
405,1/6/2020,10:12:50,1015,19.1,51.6
406,1/6/2020,10:12:55,1015,19.1,51.6
407,1/6/2020,10:13:00,1015,19.1,51.5
408,1/6/2020,10:13:05,1015,19.1,51.5
409,1/6/2020,10:13:10,1020,19.1,51.5
410,1/6/2020,10:13:15,1035,19.1,51.5
411,1/6/2020,10:13:20,1035,19.1,51.6
412,1/6/2020,10:13:25,1035,19.1,51.6
413,1/6/2020,10:13:30,1035,19.1,51.6
414,1/6/2020,10:13:35,1030,19.1,51.6
415,1/6/2020,10:13:40,1030,19.1,51.6
416,1/6/2020,10:13:45,1030,19.1,51.5
417,1/6/2020,10:13:50,1030,19.1,51.5
418,1/6/2020,10:13:55,1030,19.1,51.5
419,1/6/2020,10:14:00,1030,19.1,51.6
420,1/6/2020,10:14:05,1030,19.1,51.6
421,1/6/2020,10:14:10,1030,19.1,51.5
422,1/6/2020,10:14:15,1030,19.1,51.5
423,1/6/2020,10:14:20,1030,19.1,51.5
424,1/6/2020,10:14:25,1035,19.1,51.5
425,1/6/2020,10:14:30,1040,19.1,51.5
426,1/6/2020,10:14:35,1040,19.1,51.6
427,1/6/2020,10:14:40,1040,19.1,51.6
428,1/6/2020,10:14:45,1040,19.1,51.6
429,1/6/2020,10:14:50,1040,19.1,51.7
430,1/6/2020,10:14:55,1035,19.1,51.7
431,1/6/2020,10:15:00,1035,19.1,51.8
432,1/6/2020,10:15:05,1035,19.1,51.8
433,1/6/2020,10:15:10,1035,19.1,51.8
434,1/6/2020,10:15:15,1035,19.1,51.8
435,1/6/2020,10:15:20,1035,19.2,51.9
436,1/6/2020,10:15:25,1030,19.2,51.9
437,1/6/2020,10:15:30,1030,19.1,51.9
438,1/6/2020,10:15:35,1035,19.2,51.9
439,1/6/2020,10:15:40,1035,19.1,51.9
440,1/6/2020,10:15:45,1035,19.2,51.9
441,1/6/2020,10:15:50,1035,19.1,51.9
442,1/6/2020,10:15:55,1030,19.2,51.8
443,1/6/2020,10:16:00,1030,19.2,51.8
444,1/6/2020,10:16:05,1030,19.2,51.8
445,1/6/2020,10:16:10,1030,19.2,51.8
446,1/6/2020,10:16:15,1030,19.2,51.8
447,1/6/2020,10:16:20,1030,19.1,51.8
448,1/6/2020,10:16:25,1035,19.2,51.8
449,1/6/2020,10:16:30,1035,19.2,51.8
450,1/6/2020,10:16:35,1040,19.2,51.8
451,1/6/2020,10:16:40,1040,19.2,51.8
452,1/6/2020,10:16:45,1040,19.2,51.8
453,1/6/2020,10:16:50,1040,19.2,51.8
454,1/6/2020,10:16:55,1040,19.2,51.7
455,1/6/2020,10:17:00,1035,19.2,51.7
456,1/6/2020,10:17:05,1035,19.2,51.7
457,1/6/2020,10:17:10,1035,19.2,51.7
458,1/6/2020,10:17:15,1035,19.2,51.7
459,1/6/2020,10:17:20,1035,19.2,51.7
460,1/6/2020,10:17:25,1035,19.2,51.7
461,1/6/2020,10:17:30,1035,19.2,51.7
462,1/6/2020,10:17:35,1035,19.2,51.7
463,1/6/2020,10:17:40,1035,19.2,51.6
464,1/6/2020,10:17:45,1030,19.2,51.6
465,1/6/2020,10:17:50,1030,19.2,51.7
466,1/6/2020,10:17:55,1030,19.2,51.6
467,1/6/2020,10:18:00,1030,19.2,51.6
468,1/6/2020,10:18:05,1030,19.2,51.6
469,1/6/2020,10:18:10,1030,19.2,51.6
470,1/6/2020,10:18:15,1030,19.2,51.6
471,1/6/2020,10:18:20,1035,19.2,51.6
472,1/6/2020,10:18:25,1035,19.2,51.7
473,1/6/2020,10:18:30,1035,19.2,51.7
474,1/6/2020,10:18:35,1035,19.2,51.6
475,1/6/2020,10:18:40,1035,19.2,51.6
476,1/6/2020,10:18:45,1035,19.2,51.6
477,1/6/2020,10:18:50,1040,19.2,51.7
478,1/6/2020,10:18:55,1040,19.2,51.7
479,1/6/2020,10:19:00,1060,19.2,51.7
480,1/6/2020,10:19:05,1060,19.2,51.7
481,1/6/2020,10:19:10,1060,19.2,51.7
482,1/6/2020,10:19:15,1060,19.2,51.7
483,1/6/2020,10:19:20,1055,19.2,51.7
484,1/6/2020,10:19:25,1055,19.2,51.7
485,1/6/2020,10:19:30,1055,19.2,51.8
486,1/6/2020,10:19:35,1055,19.2,51.9
487,1/6/2020,10:19:40,1050,19.2,51.9
488,1/6/2020,10:19:45,1050,19.2,52.0
489,1/6/2020,10:19:50,1050,19.2,51.9
490,1/6/2020,10:19:55,1055,19.2,51.9
491,1/6/2020,10:20:00,1055,19.2,51.9
492,1/6/2020,10:20:05,1055,19.2,51.9
493,1/6/2020,10:20:10,1055,19.2,51.9
494,1/6/2020,10:20:15,1060,19.2,51.8
495,1/6/2020,10:20:20,1060,19.2,51.8
496,1/6/2020,10:20:25,1060,19.2,51.8
497,1/6/2020,10:20:30,1065,19.2,51.8
498,1/6/2020,10:20:35,1080,19.2,51.9
499,1/6/2020,10:20:40,1080,19.2,51.9
500,1/6/2020,10:20:45,1080,19.2,51.8
501,1/6/2020,10:20:50,1080,19.2,51.8
502,1/6/2020,10:20:55,1080,19.2,51.8
503,1/6/2020,10:21:00,1080,19.2,51.8
504,1/6/2020,10:21:05,1080,19.2,51.7
505,1/6/2020,10:21:10,1080,19.2,51.7
506,1/6/2020,10:21:15,1080,19.2,51.7
507,1/6/2020,10:21:20,1080,19.2,51.7
508,1/6/2020,10:21:25,1080,19.2,51.7
509,1/6/2020,10:21:30,1080,19.2,51.7
510,1/6/2020,10:21:35,1080,19.2,51.7
511,1/6/2020,10:21:40,1070,19.2,51.8
512,1/6/2020,10:21:45,1070,19.2,51.8
513,1/6/2020,10:21:50,1070,19.2,51.7
514,1/6/2020,10:21:55,1070,19.2,51.7
515,1/6/2020,10:22:00,1070,19.3,51.7
516,1/6/2020,10:22:05,1070,19.2,51.7
517,1/6/2020,10:22:10,1070,19.2,51.8
518,1/6/2020,10:22:15,1070,19.3,51.8
519,1/6/2020,10:22:20,1070,19.3,51.9
520,1/6/2020,10:22:25,1070,19.2,52.0
521,1/6/2020,10:22:30,1070,19.3,52.1
522,1/6/2020,10:22:35,1070,19.3,52.2
523,1/6/2020,10:22:40,1070,19.3,52.3
524,1/6/2020,10:22:45,1070,19.3,52.3
525,1/6/2020,10:22:50,1070,19.3,52.3
526,1/6/2020,10:22:55,1070,19.3,52.3
527,1/6/2020,10:23:00,1070,19.3,52.2
528,1/6/2020,10:23:05,1075,19.3,52.2
529,1/6/2020,10:23:10,1075,19.3,52.1
530,1/6/2020,10:23:15,1075,19.3,52.1
531,1/6/2020,10:23:20,1075,19.3,52.1
532,1/6/2020,10:23:25,1075,19.3,52.1
533,1/6/2020,10:23:30,1075,19.3,52.1
534,1/6/2020,10:23:35,1075,19.3,52.1
535,1/6/2020,10:23:40,1075,19.3,52.0
536,1/6/2020,10:23:45,1075,19.3,52.0
537,1/6/2020,10:23:50,1075,19.3,52.0
538,1/6/2020,10:23:55,1080,19.3,52.0
539,1/6/2020,10:24:00,1080,19.3,52.0
540,1/6/2020,10:24:05,1080,19.3,52.0
541,1/6/2020,10:24:10,1075,19.3,52.0
542,1/6/2020,10:24:15,1080,19.3,52.0
543,1/6/2020,10:24:20,1080,19.3,52.0
544,1/6/2020,10:24:25,1085,19.3,52.0
545,1/6/2020,10:24:30,1085,19.3,52.0
